Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
Humanitarian Assistance to Earthquake affected people in Nepal (Phase I & II)),FINANCIAL SERVICES,Adventist Development and Relief Agency,42125,42307,1021068,1020335
Building Resilience to Disaster by Promoting and Mainstreaming Disaster Risk Management and Resilience Initiatives in Earthquake Affected Communities: Kavre and Dhading Districts of Nepal (BURDAN),EDUCATION,Adventist Development and Relief Agency,42755,43130,504690,492224
Food Security Enhancement and Agricultural Resilience of the Earthquake-Affected Rural Nepalese Farmers (FOSTER),AGRICULTURE,Adventist Development and Relief Agency,42749,43861,911081,754142
Improvement of New Born and Child Health (IMNCH) Project in Banke district of Nepal,HEALTH,Japan,43101,44226,1158259,589035
Women’s Health and System Strengthening (WHaSS) Project,HEALTH,Government of Australia,43102,44227,748922,303513
Develop Local Economy to Eradicate Poverty (DEEP),HEALTH,Government of Australia,41117,42369,645855,644983
Good Governance and Livelihood project (GOAL),Women  CHILDREN & SOCIAL WELFARE,Adventist Development and Relief Agency,41640,43495,1360785,1263982
Initiative for promoting freedom of expression  Gender equality and social justice  human rights and democracy for sustainable peace in Nepal.,MISCELLANEOUS,International Alert,42360,43434,23972,0
Initiative for promoting freedom of expression  Gender equality and social justice  human rights and democracy for sustainable peace in Nepal.,COMMUNICATIONS,Individual donor (private),42360,43434,296870,0
Sexual Violence Research Initiative (SVRI),Women  CHILDREN & SOCIAL WELFARE,Equal Access International,43353,43677,25854,0
Change Starts at Home,OTHERS - SOCIAL,Equal Access International, -,43555,60152,38095
Behaviour Change Campaign (BCC) to Reduce the Demand for Minors within the Adult Entertainment Sector,SOCIAL PROTECTION,Equal Access International,43405,43830,28834,12500
The MEDIA (Media Empowerment for Democratic Information Access) Initiative,COMMUNICATIONS,U.S. Department of States,40381,41121,693000,0
Youth Leadership Development Program ‘Generation Amazing’,YOUTH  SPORTS & CULTURE,MercyCorps,42440,42734,308465,144074
Managing Risk through Economic Development- II (M-RED 2 ),OTHERS - ECONOMIC,MercyCorps,43101,44196,1950968,1780229
Sustainable Access to Finance and Livelihoods II (SAFAL II),FINANCIAL SERVICES,MercyCorps,43208,43572,3027173,1418399
Supporting the Education of Marginalised Girls in Kailali (STEM II),EDUCATION,MercyCorps,42917,44012,3173974,3173980
Generation Amazing Phase II,YOUTH  SPORTS & CULTURE,MercyCorps,43564,43929,370259,113484
Supporting the Role of Schools in Disaster Risk Reduction (SRSD),EDUCATION,MercyCorps,40456,41531,1283929,1258148
Managing Risk through Economic Development (MRED),AGRICULTURE,MercyCorps,41592,42687,1635472,1697445
Supporting the Education of Marginalised Girls in Kailali (STEM),EDUCATION,Department for International Development,41724,42460,2105831,1711883
Enhancing Sustainability and Profitability of the Carpet and Pashmina Industries in the Kathmandu Valley (Switch-Asia),INDUSTRY,MercyCorps,42100,42947,933078,364202
Education Project in Ghyangfedi,EDUCATION,Adara Development, -, -,644824,618257
The Holistic Community development Project in Humla,DRINKING WATER,Adara Development,40323,42004,3411904,2980814
Education and Health for Children and Youth Project,HEALTH,Adara Development,40323,42004,2858277,2391165
Equitable Actions To End Poverty,LIVELIHOOD,Action Aid International,42712,44196,4954169,5857122
Equitable Actions To End Poverty,OFF BUDGET,Action Aid International,42712,44196,11421465,9220069
Poverty Alleviation Programme,LAND REFORM & SURVEY,Individual donor (private),40513,42369,3411679,3394572
Poverty Alleviation Programme,EDUCATION,Action Aid International,40513,42369,4268127,4202494
Poverty Alleviation Programme,Women  CHILDREN & SOCIAL WELFARE,Individual donor (private),40513,42369,4413065,5083968
local Governance and Accountability,LOCAL DEVELOPMENT,European Union,41677,42794,343964,0
Child Centered Community Development Project in Nepal (II Phase),DRINKING WATER,Plan Nepal,43131,44956,0,22726543
Rights-based Child-Centred Community Development (CCCD) in Nepal.,EDUCATION,Plan Nepal,40553,42765,72347000,54353538
SASEC Sub-Regional Trade Facilitation Program,COMMERCE,Asian Development Bank,41330,42369,15000000,15000000
Mountain Agribusiness and Livelihood Improvement (HIMALI) Project,AGRICULTURE,Asian Development Bank,40721,42855,20000000,17723837
Project for Agriculture Commercialization and Trade (PACT),AGRICULTURE,International Development Association,41318,43281,60000000,45862830
Crop Protection and Pesticide Development - National Integrated Pest Management Program (IPM) Phase II,AGRICULTURE,39748,41639,0,720114, -
Avian Influenza Control Project (Animal Health Component),AGRICULTURE,International Development Association,39148,40755,8514000,8842019
Community Livestock Development Program (CLDP),AGRICULTURE,Asian Development Bank,38085,40359,20000000,20331291
Promoting Agriculture  Health and Alternative Livelihoods (PAHAL),LIVELIHOOD,U.S. Agency for International Development,41926,43860,25019937,25019937
USAID/Nepal Monitoring Evaluation and Learning - MEL,FINANCIAL REFORM,U.S. Agency for International Development,42109,43935,11750229,11750229
Sustainable Networks (SIFPO II) - MSI,HEALTH,U.S. Agency for International Development,41747,43572,4500000,4500000
Sustainable Networks (SIFPO II International Planned Parenthood Federation),HEALTH,U.S. Agency for International Development,41772,43597,5500000,5500000
Emergency Education Response for Nepal,EDUCATION,U.S. Agency for International Development,42167,42532,10642613,10642613
Targeted cash assistance for Nepal's Reconstruction,PEACE AND RECONSTRUCTION,China,42208,43465,10000000,5093531
Reconstruction and improvement of electricity in Earthquake affected districts,ELECTRICITY,German Development Cooperation (KfW),42032,43496,5473500,340565
Japanese FoodAid(KR)-2017,AGRICULTURE,Japan - KR2,43125,43496,319929,0
Safer Migration Project (SaMi)  III,OTHERS - SOCIAL,Swiss Agency for Development and Cooperation,43105,44576,18662586,5357322
Solu Corridor 132KV Transmission Line,ELECTRICITY,India Exim Bank,40837, -,58000000,52837
Irrigation and Water Resources Management Project (IWRMP),AGRICULTURE,International Development Association,39478,41455,51367541,66078787
Irrigation and Water Resources Management Project (IWRMP),IRRIGATION,International Development Association,39478,41455,63543501,42802828
Conflict Mitigation through Community Mediation,OFF BUDGET,U.S. Agency for International Development,41729,42643,439707,439707
Micro Hydropower Improvement in Western Area,ELECTRICITY,Japan International Cooperation Agency,41751,43159,15303687,10148479
Grid solar Energy Efficiency project,ALTERNATE ENERGY,International Development Association,42055,42535,130000000,30042350
SASEC Power System Expansion,ELECTRICITY,Asian Development Bank,41831,44742,192000000,2550000
Skills Development Project,EDUCATION,Asian Development Bank,41467, -,20000000,415008
IR 2.4: District Early Childhood Development System,EDUCATION,United Nations Children's Fund,40178,42004,2428049,2428049
IR 2.5: District Child Friendly School System,EDUCATION,United Nations Children's Fund,40148,42004,7104627,7104627
IR 3.3: Out-of School and alternative education,EDUCATION,United Nations Children's Fund,40148,42004,3122612,3122612
IR 1.2: Nutrition Multi-Sectoral Action Plan,HEALTH,United Nations Children's Fund,41275,43100,2167760,7140000
IR 2.2: District Essential Nutrition System,HEALTH,United Nations Children's Fund,41275,43100,3233260,8386553
IR 3.2 Nutrition and Hygiene Promotion,HEALTH,United Nations Children's Fund,41275,43100,2410400,4698667
1.6 National Child Protection System,OFF BUDGET,United Nations Children's Fund,41334,42201,926750,294915
IR 2.6: District Social Welfare System,Women  CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,41334,42200,474000,510938
IR 2.6: District Social Welfare System,SOCIAL PROTECTION,United Nations Children's Fund,41334,42200,5779917,3867523
IR 2.7: District Justice for Children System,OFF BUDGET,United Nations Children's Fund,41334,42200,1888166,734170
IR 3.5: Behavioral/social change for protection,OFF BUDGET,United Nations Children's Fund,41334,42200,4799383,5108109
Rural water supply and sanitation improvement project (RWSSIP),URBAN DEVELOPMENT,International Development Association,41831,44012,71898459,49514171
NPL country Gender Assessment.,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41731,41790,12000,11993
NPL Micro insrance Project in Nepal,LIVELIHOOD,Save the Children,41640,42735,552591,216502
NPL Enhancing health sector crises preparedness in the event of a high internsity earthquake in Kathmandu Valley,HEALTH,Save the Children,41579,41882,200329,147217
NPL Support to health workforce (cofunding to EC award),HEALTH,Save the Children,41579,41720,36758,36464
NPL Support to Health workforce through Civil Society Engagement,LOCAL DEVELOPMENT,Save the Children,41579,41720,168077,135927
NPL 2013 QLO in ECD Program SC Korea,EDUCATION,Save the Children,41275,41729,277581,277000
NPL SCK 2013 Every One Campaign,EDUCATION,Save the Children,41456,41698,377564,364489
Nepal Flood Landslide Respond 2014,EDUCATION,Save the Children,41852,42064,100000,98070
Enhancing Health Sector Crisis Preparedness in the Event of High Intensity Earthquake in Kathmandu Valley. Increasing the resilience of the Kathmandu Valley's Health System,HEALTH,Save the Children,41579,41882,205084,148465
Nepal Community Resilience Program (SABAL),HEALTH,Save the Children,41929,43754,35001891,12786556
NPL 2014 Sponsorship Award,LIVELIHOOD,Save the Children,41640,42004,5555392,5414622
Finland MFA frame Child Protection -2014 -2016,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41640,42735,754840,656056
Finland MFA Frame CRG 14 16,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41640,42735,2217626,2087814
NPL Finland MFA Learning for a better future,EDUCATION,Save the Children,41640,42369,259286,268116
Every One MNCH 12-13,HEALTH,Save the Children,40909,42004,408054,400000
NPL 2014 Educate the Future (EtF) K0ICA,EDUCATION,Save the Children,41640,42004,322652,331929
NPL SCK Education and CP Integrated Project,EDUCATION,Save the Children,41791,42155,258162,265652
NPL EU Investing in People violence against children 13-16,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41627,42722,1916287,1729896
JICA SSSRP Nepal,EDUCATION,Save the Children,41030,42034,1108732,1241965
NPL SCK Adopt a school in Rukum 2014,EDUCATION,Save the Children,41671,42035,92517,92325
NPL SCK Adopt a School Banke (2 schools) 2014,EDUCATION,Save the Children,41730,42035,122802,124162
NPL MFAT portion CLSP SCNZ - Improving Lives of children in UDAYAPUR through livelihoods & social protection,LIVELIHOOD,Save the Children,41821,43646,611834,652712
NPL Access to Quality Health in Baitadi District 13 16,HEALTH,Save the Children,41456,42551,715365,728747
NPL Education in Conflict Situation Disability,HEALTH,Save the Children,41456,41973,284807,280984
NPL RNE EiE Flood affected Midwest-Nepal,EDUCATION,Save the Children,41901,42094,247387,253516
NPL Clas Ohlson ECD 11-12,EDUCATION,Save the Children,40695,42094,514658,510489
NPL SCS CP System 2013,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41275,42369,200122,266338
NPL SCS PCL 2014,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41640,42004,203932,175612
NPL UNDP Earthquake Recovery DRR,LOCAL DEVELOPMENT,Save the Children,40900,41670,1270201,1237677
NPL Brick Kilns Comic Relief,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41579,42674,949101,849347
NPL DFID Technical Assistance for Strengthening NewBorn Care Programme,HEALTH,Save the Children,41722,42307,599667,830069
NPL Merck Foundation Frontline Healthworkers SOF: 84000188,HEALTH,Save the Children,40940,42781,1178682,526007
NPL SCUS SUN MPTF 2013-2015,HEALTH,Save the Children,41487,42369,373676,321401
NPL Protection in Emergencies USAID,LOCAL DEVELOPMENT,Save the Children,41901,42063,177968,161334
NPL Pooled Seed Fund - 2014 Floods/Landslide Response,LOCAL DEVELOPMENT,Save the Children,41862,42004,118650,118560
Improving the Lives of children in Udaypur,Women  CHILDREN & SOCIAL WELFARE,Save the Children,41821,43646,281034,203188
NPL Educate the Future 2015- KOICA/ SCK Match,EDUCATION,Save the Children,41640,42735,92202,88039
Nepal Round 10 Proposal to Contribute to the Achievement of MDGs 4,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,42201,42566,18817652,997847
Nepal National Strategic plan 2010-2015 implementation of Stop TB Strategy,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,42201,42566,7955326,9250017
NPL Health Systems Strengthening and Winterization Support SOF 34400026,OFF BUDGET,Save the Children,42248,42490,644900,637660
NPL Repair of schools supported by QEPPS project SOF 55400037,OFF BUDGET,Save the Children,42248,42551,6800,6877
NPL 2016 Sponsorship Award - SC Australia,EDUCATION,Save the Children,42005,42369,5058179,4499602
NPL- SCK 2015 Emergency Education Support to Children Affected by the Earthquake in Nepal SOF: 41000301,EDUCATION,Save the Children,42156,42490,694000,668591
NEP One Foundation GIK and Cash Support to Nepal Earthquake SOF:34400019,OFF BUDGET,Save the Children,42191,42400,757463,693419
SCUK Strategic Nepal Funds tranche 1 SOF:82602484,Women  CHILDREN & SOCIAL WELFARE,Save the Children,42191,42849,878098,808318
Nepal Sabal Mission Funds,LIVELIHOOD,Save the Children,42067,43754,12169330,12354590
NPL Scaling up and strengthening QLE in ECCD and BE in Nepal and Bhutan SoF: 03600706 SOF:,EDUCATION,Save the Children,42005,42185,25432,14980
NPL Athene Match Funds SOF:84002714 Fund office Reference No: 84002058,OFF BUDGET,Save the Children,42156,42551,110741,91620
NPL_ Child Protection Funding from the Omidyar Fund SOF:84002692 Fund office reference No. 84090418,Women  CHILDREN & SOCIAL WELFARE,Save the Children,42143,42490,86956,86956
